,ID,Color,Amplitude
755,1106152,z,3.4255
756,110626,z,3.142
757,110627,z,1.8705
758,1106326,z,3.203
759,1106984,z,3.3435
760,1107164,z,1.33
761,1107369,z,2.6535
762,1107714,z,0.9845
763,1107902,z,3.5035
764,1107917,z,1.464
765,1108114,z,2.2845
766,110814,i,0.7235
767,1108205,z,2.823
768,1108323,z,2.7155
769,1108335,z,4.316
770,1108433,z,2.8635
771,1108796,z,2.2765
772,1108870,z,0.7015
773,1109656,i,0.6905
774,1109759,z,1.097
775,1109843,z,3.0515
776,1110429,z,3.3085
777,1110640,z,1.162
778,1110810,z,3.603
779,1110813,z,0.502
780,1110936,z,2.063
781,1111070,z,0.664
782,1111147,z,1.268
783,111121,z,3.0345
784,1111433,z,1.997
785,1111497,z,5.393
786,1111546,z,0.819
787,1111547,z,1.0795
788,1111831,z,2.854
789,1112027,z,2.0535
790,1112192,z,3.261
791,111226,z,0.6315
792,1112326,z,1.01
793,1112652,z,0.773
794,1112737,z,1.002
795,1112738,z,0.6395
796,1112904,i,1.483
797,1112926,z,1.043
798,1113065,z,1.5515
799,1113181,z,2.142
800,111332,z,0.578
801,1113582,z,3.982
802,1113593,r,0.8425
803,1113600,z,0.8335
804,1113637,z,2.607
805,111383,z,1.043
806,1113903,z,3.9235
807,1114128,z,4.3735
808,1114229,z,2.198
809,111423,z,2.1455
810,111438,z,1.159
811,1114573,z,0.996
812,1114741,z,2.7705
813,1114867,z,0.9205
814,1115066,z,2.213
815,1115171,z,1.886
816,1115301,z,5.2055
817,1115475,z,0.7635
818,1115496,z,2.3215
819,1115516,z,0.618
820,1115622,z,0.781
821,1115848,z,1.678
822,1116037,z,2.8765
823,1116058,z,3.323
824,111608,z,1.2725
825,1116195,z,2.995
826,1116204,z,3.6235
827,1116701,z,2.112
828,1116811,z,1.0215
829,1116816,z,0.577
830,1116868,z,2.096
831,1116876,z,3.34
832,1116910,i,1.1565
833,1116998,z,3.3855
834,1117338,z,1.24
835,1117476,z,1.008
836,1117549,z,0.874
837,1117692,z,1.3085
838,111809,i,0.4745
839,111817,i,0.4545
840,1118302,z,1.3545
841,1118359,z,2.1915
842,1118390,i,1.2345
843,1118447,z,1.6445
844,1118825,z,3.307
845,1118955,z,1.7075
846,1119549,z,0.802
847,1119589,z,1.1475
848,1119800,z,2.6855
849,1119998,z,1.2245
850,1120140,z,3.4525
851,1120298,z,2.7365
852,1120345,z,3.1895
853,112041,z,0.5765
854,1120467,z,0.7115
855,1120552,z,3.0145
856,1120626,z,2.0725
857,1120703,z,1.9535
858,1120909,z,1.4675
859,1121085,z,2.9505
860,1121117,z,0.8085
861,112121,z,1.6985
862,1121232,z,1.4255
863,1121259,z,1.038
864,1121524,z,3.034
865,1121819,z,2.0185
866,1122036,z,3.7365
867,1122039,z,2.328
868,1122042,z,1.142
869,1122082,z,1.5355
870,1122091,z,3.604
871,1122286,z,1.197
872,1122294,z,4.4
873,1122921,z,1.539
874,1122959,z,2.105
875,1122964,z,0.7025
876,1123015,z,3.653
877,1123032,z,2.235
878,1123143,z,1.4705
879,112329,z,2.906
880,1123380,z,1.1765
881,1123495,z,3.484
882,1123525,z,0.6225
883,1123798,z,4.976
884,1123892,z,4.068
885,1124002,z,1.4785
886,1124046,z,1.2805
887,1124067,z,2.902
888,1124174,r,0.5045
889,1124333,i,0.6005
890,1124527,z,1.903
891,1124595,z,0.788
892,1124730,z,0.8255
893,112497,i,0.578
894,1125192,z,1.384
895,1125199,z,0.7775
896,1125203,z,3.823
897,1125238,z,0.664
898,1125521,i,0.6905
899,1125548,z,3.3385
900,112577,z,3.384
901,1125776,z,4.0235
902,1125927,z,1.244
903,1125988,z,1.46
904,1126037,z,1.2505
905,1126060,z,4.0995
906,1126557,z,1.111
907,1126706,z,2.5275
908,1126858,z,2.4285
909,1126917,z,0.7705
910,1127063,z,3.1885
911,1127117,r,1.0515
912,1127145,z,0.516
913,1127185,i,0.5305
914,1127264,z,1.565
915,1127348,z,2.19
916,1127914,z,1.157
917,1127966,z,3.6405
918,1128076,z,1.29
919,1128186,z,1.6575
920,1128290,z,0.637
921,1128535,z,1.1365
922,1128581,i,1.166
923,1128779,z,0.831
924,1128976,z,3.6215
925,1129022,z,1.5955
926,1129055,z,2.741
927,1129094,z,1.3345
